"variable","n","mean","sd","min","p25","median","p75","max"
"EMP_TECH",27,5.46666666666667,1.31529464379659,3.2,4.65,5.4,6.15,10
"WAGE_EDU",27,12.8777777777778,7.26120795912368,3.3,6.525,11.25,19,29.53
"DESI_AI",27,8.23703703703704,4.17259448417226,1.51,4.765,7.86,11.46,15.17
"STEM_GRAD",27,19.6,6.75357455209974,5.6,15.6,18.6,22.85,40.3
"GOV_RD",27,0.562962962962963,0.251851830903301,0.15,0.34,0.6,0.77,1.05
"GDP_CAP",27,33992.5925925926,21910.5191794318,10950,18675,27150,43840,102250
"DIG_SKILLS",27,57.6262962962963,12.6531337401963,27.73,50.385,58.95,65.43,82.7
"ln_GDP_CAP",27,10.2695148218189,0.568191787046317,9.30109473524465,9.83493294554992,10.2091323253621,10.688262350778,11.535176073905
"ln_EMP_TECH",27,1.67288334107116,0.229585047119921,1.16315080980568,1.53680940610553,1.68639895357023,1.81641903161516,2.30258509299405
